"","SPLmean","SPLsd","SPLQ25","SPL50","SPLQ75","SPLMax","SPLMin","lwr.ci(95%)","upr.ci(95%)","Year","Month","Day","Hour","Min","Sec","Site","file"
"X5C8BF908.WAV",86.8686581894261,5.48005618359697,82.9487650680518,85.8931793262984,88.722229997668,108.690739524051,81.2845687077122,86.194162404068,87.5431539747841,"2019","03","15"," 19","03","08","S01","X5C8BF908.WAV"
"X5C8BFB60.WAV",87.5424074506568,5.23584987926742,84.7658526775385,86.8400384109535,87.5143808303486,112.032736504232,82.8872578013082,86.89796904382,88.1868458574936,"2019","03","15"," 19","13","08","S01","X5C8BFB60.WAV"
"X5C8BFDB8.WAV",85.9706056533725,5.75054452512535,82.7381629854229,84.8275120920516,85.9608055275614,112.26952217814,81.2759221636424,85.2628176461399,86.6783936606051,"2019","03","15"," 19","23","08","S01","X5C8BFDB8.WAV"
"X5C8C0010.WAV",86.7954758039617,5.62006595247456,83.0463895407348,85.8376709979397,87.680224590159,110.381296396321,81.5191162106679,86.1037473487454,87.4872042591781,"2019","03","15"," 19","33","08","S01","X5C8C0010.WAV"
"X5C8C0268.WAV",86.1006342279932,5.86947179771625,82.8982420833671,84.9884732157748,86.2097020659783,114.752806563792,81.4908522099063,85.3782084248258,86.8230600311606,"2019","03","15"," 19","43","08","S01","X5C8C0268.WAV"
"X5C8C04C0.WAV",87.223723929602,5.59949342029552,83.4085214842008,86.3957681078586,88.702471842221,111.581371912599,81.6452305168364,86.5345275809525,87.9129202782516,"2019","03","15"," 19","53","08","S01","X5C8C04C0.WAV"
"X5C8C0718.WAV",86.5890767213146,5.28031044017424,83.8826939747026,85.5652435964733,86.6490004514243,110.023957744748,81.7315132139942,85.9391660236944,87.2389874189349,"2019","03","15"," 20","03","08","S01","X5C8C0718.WAV"
"X5C8C0970.WAV",86.3843140301254,5.32760480457197,83.508443942802,85.3067262937879,86.6164510121757,111.513753593272,82.0015962352403,85.7285822517738,87.0400458084771,"2019","03","15"," 20","13","08","S01","X5C8C0970.WAV"
"X5C8C0BC8.WAV",86.050010243736,5.45343740310504,83.0004445690774,85.0317443955448,86.2901208036878,109.83852907624,81.4697200243333,85.3787907487392,86.7212297387329,"2019","03","15"," 20","23","08","S01","X5C8C0BC8.WAV"
"X5C8C0E20.WAV",86.597843175732,5.57370760809272,83.3399522025389,85.7427499783283,87.064576421741,110.666455834311,81.6457357447391,85.9118205941152,87.2838657573489,"2019","03","15"," 20","33","08","S01","X5C8C0E20.WAV"
"X5C8C1078.WAV",86.722271338871,5.31166858109439,83.5582469308165,85.8710742094441,87.4066268568292,110.581733009929,81.8421347310716,86.068501021353,87.3760416563891,"2019","03","15"," 20","43","08","S01","X5C8C1078.WAV"
"X5C8C12D0.WAV",87.0908650369037,5.39689830889612,83.8340311121474,85.91224405814,87.9479697812719,111.205652617376,81.9462281528031,86.4266044816465,87.7551255921608,"2019","03","15"," 20","53","08","S01","X5C8C12D0.WAV"
"X5C8C1528.WAV",86.5331889668531,5.48431139964835,83.4285474229214,85.3164093540427,87.2851267623179,113.523954142097,81.6142987999522,85.8581694413734,87.2082084923328,"2019","03","15"," 21","03","08","S01","X5C8C1528.WAV"
"X5C8C1780.WAV",88.3825998465223,5.17923326868921,85.3118226667606,87.2831526631583,88.7142443134581,111.888257876497,83.625878100197,87.7451299202881,89.0200697727566,"2019","03","15"," 21","13","08","S01","X5C8C1780.WAV"
"X5C8C19D8.WAV",86.3277291885691,4.64231457232868,83.2046009714845,85.8871443255453,87.3058936790884,111.816777980474,81.6310709683113,85.7563442413282,86.89911413581,"2019","03","15"," 21","23","08","S01","X5C8C19D8.WAV"
"X5C8C1C30.WAV",86.2240073420145,4.5680648474741,83.1249125380323,85.8420605883345,87.2307602229478,113.22757267903,81.6324955542528,85.6617611927713,86.7862534912576,"2019","03","15"," 21","33","08","S01","X5C8C1C30.WAV"
"X5C8C1E88.WAV",86.0796363372698,4.64402039521469,83.0069892864954,85.7945294301533,87.0796544905475,112.69292156048,81.4773919118014,85.5080414340889,86.6512312404507,"2019","03","15"," 21","43","08","S01","X5C8C1E88.WAV"
"X5C8C20E0.WAV",86.9497839306742,5.00969887392565,83.7525870160216,86.124137423721,87.6692910137374,111.919549049208,81.8164200111873,86.3331806216625,87.5663872396859,"2019","03","15"," 21","53","08","S01","X5C8C20E0.WAV"
"X5C8C2338.WAV",87.0516153830169,5.33258801460302,83.8032497995461,86.4520698542977,87.9269001562757,113.620834835059,81.8434680775658,86.3952702616536,87.7079605043802,"2019","03","15"," 22","03","08","S01","X5C8C2338.WAV"
"X5C8C2590.WAV",87.0903871413783,5.29497945972749,83.7642067190682,86.1131104532615,87.7241763373369,112.225372825744,82.3840392902797,86.4386709528046,87.742103329952,"2019","03","15"," 22","13","08","S01","X5C8C2590.WAV"
"X5C8C27E8.WAV",86.5130543668752,4.94701649179378,83.3888809360382,85.6467742464761,87.318195865247,111.359591183427,81.6051798907497,85.9041661252182,87.1219426085321,"2019","03","15"," 22","23","08","S01","X5C8C27E8.WAV"
"X5C8C2A40.WAV",87.2416402645084,4.93586418724462,84.1691232168579,86.3385642236966,87.6846065182215,112.572200395868,82.3488140976846,86.6341246698031,87.8491558592136,"2019","03","15"," 22","33","08","S01","X5C8C2A40.WAV"
"X5C8C2C98.WAV",87.0538844815749,5.22495339409036,83.6891852948673,86.1864730349015,88.0328146045988,112.780358655137,82.1795350002284,86.4107872349527,87.6969817281971,"2019","03","15"," 22","43","08","S01","X5C8C2C98.WAV"
"X5C8C2EF0.WAV",86.9883976456598,5.44980972987969,83.4666338361226,86.0748553251363,88.1632427052883,113.474506721581,82.0844843320114,86.3176246516147,87.659170639705,"2019","03","15"," 22","53","08","S01","X5C8C2EF0.WAV"
"X5C8C3148.WAV",86.8582168119776,5.3428271257083,83.4899218167019,85.9015112069618,87.5840230539978,114.677222231037,81.9692385392858,86.2006114412565,87.5158221826987,"2019","03","15"," 23","03","08","S01","X5C8C3148.WAV"
"X5C8C33A0.WAV",86.8282958026233,5.11916022003189,83.9067216816457,85.8169804127306,87.3420131405919,114.457532102523,82.3750599908881,86.1982197819943,87.4583718232523,"2019","03","15"," 23","13","08","S01","X5C8C33A0.WAV"
"X5C8C35F8.WAV",86.966066878036,5.51048686035916,83.5819413911805,85.9185555337711,87.4216149888435,114.381576831164,82.2924072798997,86.2878256268408,87.6443081292313,"2019","03","15"," 23","23","08","S01","X5C8C35F8.WAV"
"X5C8C3850.WAV",87.0540603949338,5.33324758854836,83.8077771350306,85.9965771261571,87.6186921035095,114.161729834253,82.2379020560384,86.3976340919491,87.7104866979184,"2019","03","15"," 23","33","08","S01","X5C8C3850.WAV"
"X5C8C3AA8.WAV",87.2821341683349,5.83284732695951,83.9690898499426,85.9378694857165,87.4742851667049,115.928898466584,82.2230548300875,86.5642161750036,88.0000521616663,"2019","03","15"," 23","43","08","S01","X5C8C3AA8.WAV"
"X5C8C3D00.WAV",86.7176402886466,5.53546337747562,83.4717571629631,85.7077922790844,87.3533178547118,116.177465991708,81.8496568284341,86.0363248800041,87.398955697289,"2019","03","15"," 23","53","08","S01","X5C8C3D00.WAV"
"X5C8C3F58.WAV",87.304886019272,5.47330955256064,83.9717463528682,86.1917475966507,87.8770644727379,113.223729181267,82.5817694602884,86.6312206221522,87.9785514163919,"2019","03","16"," 00","03","08","S01","X5C8C3F58.WAV"
"X5C8C41B0.WAV",87.1297871639063,5.31933123351672,83.7944421811484,86.1069228931617,87.5426349646287,110.560644575658,82.2394345281031,86.4750737124877,87.7845006153249,"2019","03","16"," 00","13","08","S01","X5C8C41B0.WAV"
