Site,F01,F12,F23,F34,F45,F56,F67,F78,F89,F910,F1011,F1112,F1213,F1314,F1415,F15,Sites,Site,Year,Month,Day,Hour,Rep,Sites
117,0,499,4275,242,0,34,16,10,91,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,19,3,CE01_20170909_190000.wav2
118,1,175,4640,160,0,40,14,15,122,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,19,4,CE01_20170909_190000.wav3
119,7,117,4463,328,5,43,20,32,152,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,19,5,CE01_20170909_190000.wav4
120,5,114,4300,335,0,44,15,80,274,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,19,6,CE01_20170909_190000.wav5
121,21,100,4659,308,0,27,7,3,42,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,20,1,CE01_20170909_200000.wav
122,16,149,4821,86,0,12,15,14,54,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,20,2,CE01_20170909_200000.wav1
123,8,73,4906,59,0,14,7,44,56,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,20,3,CE01_20170909_200000.wav2
124,5,181,4732,119,0,8,3,32,87,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,20,4,CE01_20170909_200000.wav3
125,3,325,4541,154,0,13,7,49,75,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,20,5,CE01_20170909_200000.wav4
126,8,434,4414,149,0,6,8,54,94,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,20,6,CE01_20170909_200000.wav5
127,256,233,4434,76,0,2,11,37,118,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,21,1,CE01_20170909_210000.wav
128,383,185,4361,46,0,3,6,53,130,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,21,2,CE01_20170909_210000.wav1
129,186,249,4493,105,0,2,7,35,90,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,21,3,CE01_20170909_210000.wav2
130,144,324,4478,130,0,0,7,14,64,0,6,0,0,0,0,0,Ceibo,CE01,2017,9,9,21,4,CE01_20170909_210000.wav3
131,48,512,4473,86,0,0,6,10,31,0,1,0,0,0,0,0,Ceibo,CE01,2017,9,9,21,5,CE01_20170909_210000.wav4
132,66,409,4431,85,5,3,13,18,137,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,21,6,CE01_20170909_210000.wav5
133,94,415,4419,50,0,11,11,113,52,0,2,0,0,0,0,0,Ceibo,CE01,2017,9,9,22,1,CE01_20170909_220000.wav
134,97,389,4445,83,0,2,9,103,38,0,1,0,0,0,0,0,Ceibo,CE01,2017,9,9,22,2,CE01_20170909_220000.wav1
135,53,352,4544,36,0,3,21,102,56,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,22,3,CE01_20170909_220000.wav2
136,22,256,4746,27,0,6,4,77,29,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,22,4,CE01_20170909_220000.wav3
137,19,102,4814,13,0,5,8,107,97,0,2,0,0,0,0,0,Ceibo,CE01,2017,9,9,22,5,CE01_20170909_220000.wav4
138,55,521,4152,66,4,10,5,209,144,0,1,0,0,0,0,0,Ceibo,CE01,2017,9,9,22,6,CE01_20170909_220000.wav5
139,238,100,4578,9,0,0,6,67,169,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,23,1,CE01_20170909_230000.wav
140,96,245,4575,12,0,0,0,127,112,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,23,2,CE01_20170909_230000.wav1
141,202,241,4376,5,0,0,6,140,197,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,23,3,CE01_20170909_230000.wav2
142,121,266,4257,18,0,2,2,222,279,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,23,4,CE01_20170909_230000.wav3
143,53,105,4613,30,0,6,4,152,204,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,23,5,CE01_20170909_230000.wav4
144,63,179,4611,27,0,0,0,118,169,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,9,23,6,CE01_20170909_230000.wav5
145,324,302,4286,147,0,0,0,50,58,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,0,1,CE01_20170910_000000.wav
146,170,182,4569,176,0,2,0,23,45,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,0,2,CE01_20170910_000000.wav1
147,340,399,3953,384,0,3,4,38,46,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,0,3,CE01_20170910_000000.wav2
148,174,274,4462,235,0,0,0,11,11,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,0,4,CE01_20170910_000000.wav3
149,137,276,4572,142,0,0,0,28,12,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,0,5,CE01_20170910_000000.wav4
150,330,458,3943,270,0,1,0,72,93,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,0,6,CE01_20170910_000000.wav5
151,221,514,4333,70,2,16,0,0,11,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,1,1,CE01_20170910_010000.wav
152,349,587,4136,37,0,1,0,56,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,1,2,CE01_20170910_010000.wav1
153,327,719,3952,127,0,1,0,22,19,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,1,3,CE01_20170910_010000.wav2
154,503,610,3905,111,1,15,0,10,12,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,1,4,CE01_20170910_010000.wav3
155,2146,231,2560,213,1,5,0,3,8,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,1,5,CE01_20170910_010000.wav4
156,2170,311,2577,76,1,10,0,6,16,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,1,6,CE01_20170910_010000.wav5
157,151,630,4274,45,0,1,0,66,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,2,1,CE01_20170910_020000.wav
158,111,459,4540,52,0,0,1,1,3,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,2,2,CE01_20170910_020000.wav1
159,427,798,3913,22,0,0,0,3,4,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,2,3,CE01_20170910_020000.wav2
160,194,1327,3539,22,1,11,0,70,3,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,2,4,CE01_20170910_020000.wav3
161,389,1089,3640,28,2,0,0,15,4,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,2,5,CE01_20170910_020000.wav4
162,400,1036,3708,19,0,1,1,2,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,2,6,CE01_20170910_020000.wav5
163,707,90,4352,1,0,0,0,6,11,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,3,1,CE01_20170910_030000.wav
164,610,128,4376,12,0,0,0,3,38,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,3,2,CE01_20170910_030000.wav1
165,656,327,4091,11,0,0,0,30,52,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,3,3,CE01_20170910_030000.wav2
166,1208,524,3340,71,2,2,0,3,17,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,3,4,CE01_20170910_030000.wav3
167,1375,632,2909,250,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,3,5,CE01_20170910_030000.wav4
168,1204,441,3297,208,0,14,0,3,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,3,6,CE01_20170910_030000.wav5
169,3479,423,987,56,40,38,126,13,5,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,7,1,CE01_20170910_070000.wav
170,2610,584,1648,51,73,46,142,13,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,7,2,CE01_20170910_070000.wav1
171,1835,636,2595,11,2,9,72,7,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,7,3,CE01_20170910_070000.wav2
172,1931,452,2664,19,30,5,56,10,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,7,4,CE01_20170910_070000.wav3
173,1802,198,2489,664,0,4,8,2,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,7,5,CE01_20170910_070000.wav4
174,762,126,2961,1316,0,1,1,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,7,6,CE01_20170910_070000.wav5
175,26,800,4339,2,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,8,1,CE01_20170910_080000.wav
176,85,575,4447,60,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,8,2,CE01_20170910_080000.wav1
177,112,798,4193,61,1,2,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,8,3,CE01_20170910_080000.wav2
178,3,597,4536,31,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,8,4,CE01_20170910_080000.wav3
179,1,526,4599,41,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,8,5,CE01_20170910_080000.wav4
180,0,379,4753,34,0,0,0,0,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,8,6,CE01_20170910_080000.wav5
181,255,690,4204,17,0,0,0,0,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,9,1,CE01_20170910_090000.wav
182,180,515,4457,15,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,9,2,CE01_20170910_090000.wav1
183,0,303,4852,12,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,9,3,CE01_20170910_090000.wav2
184,0,398,4755,13,0,0,0,0,1,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,9,4,CE01_20170910_090000.wav3
185,0,259,4877,31,0,0,0,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,9,5,CE01_20170910_090000.wav4
186,0,377,4746,43,0,0,0,1,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,9,6,CE01_20170910_090000.wav5
187,1639,505,1890,1089,1,7,36,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,10,1,CE01_20170910_100000.wav
188,994,641,2085,1441,0,1,5,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,10,2,CE01_20170910_100000.wav1
189,1107,638,2180,1236,1,0,5,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,10,3,CE01_20170910_100000.wav2
190,1087,1077,2798,198,0,1,6,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,10,4,CE01_20170910_100000.wav3
191,1623,130,506,2903,4,0,1,0,0,0,0,0,0,0,0,0,Ceibo,CE01,2017,9,10,10,5,CE01_20170910_100000.wav4
